# Measurement_Time,Delay_Ch2
4.019260406494140625e-01,-4.650000000000001354e-03
7.839045524597167969e-01,-4.479999999999997873e-03
1.172864675521850586e+00,-4.255000000000001836e-03
1.610665798187255859e+00,-3.965000000000003244e-03
1.982669830322265625e+00,-3.597999999999997034e-03
2.360687494277954102e+00,-3.256999999999996009e-03
2.757629394531250000e+00,-2.922000000000000985e-03
3.178104639053344727e+00,-2.607999999999999208e-03
3.580029487609863281e+00,-2.326000000000001677e-03
4.047071456909179688e+00,-2.131000000000000949e-03
4.491003036499023438e+00,-2.017999999999998961e-03
4.898200988769531250e+00,-2.029999999999997085e-03
6.147229433059692383e+00,-2.148999999999998134e-03
6.567248821258544922e+00,-3.079999999999999405e-03
6.966410636901855469e+00,-3.506999999999996231e-03
7.343212127685546875e+00,-3.956000000000001182e-03
7.743674516677856445e+00,-4.354999999999997762e-03
8.154313564300537109e+00,-4.761000000000001342e-03
8.552547454833984375e+00,-5.122000000000001552e-03
9.008293628692626953e+00,-5.408000000000003082e-03
9.404367923736572266e+00,-5.616999999999996995e-03
9.788220405578613281e+00,-5.699000000000002675e-03
1.025152754783630371e+01,-5.685999999999996612e-03
1.068527913093566895e+01,-5.553000000000002379e-03
1.118171381950378418e+01,-5.288000000000001033e-03
1.161504793167114258e+01,-4.964999999999997193e-03
1.205489206314086914e+01,-4.589000000000002799e-03
1.247904849052429199e+01,-4.195000000000004281e-03
1.294312334060668945e+01,-3.831000000000001071e-03
1.336932706832885742e+01,-3.472000000000002862e-03
1.378840446472167969e+01,-3.224000000000004640e-03
1.424705648422241211e+01,-3.063999999999997281e-03
1.467205405235290527e+01,-3.008000000000003726e-03
1.505481863021850586e+01,-3.072999999999999343e-03
1.548742723464965820e+01,-3.225999999999999701e-03
1.590740847587585449e+01,-3.498000000000001108e-03
1.631415438652038574e+01,-3.848000000000004195e-03
1.677321434020996094e+01,-4.251000000000004775e-03
1.720338988304138184e+01,-4.744999999999999218e-03
1.766522789001464844e+01,-5.269000000000002848e-03
1.803936076164245605e+01,-5.691000000000001613e-03
1.844951510429382324e+01,-6.030000000000000637e-03
1.885212182998657227e+01,-6.338000000000003353e-03
1.923512530326843262e+01,-6.559000000000002328e-03
1.963765335083007812e+01,-6.673999999999999377e-03
2.008228278160095215e+01,-6.701999999999999624e-03
2.051884722709655762e+01,-6.615999999999996883e-03
2.093357229232788086e+01,-6.422000000000004094e-03
2.137510251998901367e+01,-6.157000000000002748e-03
2.183824968338012695e+01,-5.806999999999999662e-03
2.228944420814514160e+01,-5.402000000000004021e-03
2.268098330497741699e+01,-5.000999999999998502e-03
2.314083743095397949e+01,-4.668999999999999539e-03
2.357036662101745605e+01,-4.349999999999999700e-03
2.398692560195922852e+01,-4.139000000000003787e-03
2.444630432128906250e+01,-4.023999999999999799e-03
2.485028195381164551e+01,-4.021000000000003738e-03
2.525246858596801758e+01,-4.130000000000001725e-03
2.565641498565673828e+01,-4.333000000000003515e-03
2.607430195808410645e+01,-4.621000000000000107e-03
2.650719857215881348e+01,-4.997000000000001441e-03
2.722346997261047363e+01,-5.438999999999999391e-03
2.767564058303833008e+01,-6.224000000000000365e-03
2.811711549758911133e+01,-6.689000000000000501e-03
2.852086067199707031e+01,-7.094000000000003081e-03
2.897864413261413574e+01,-7.381999999999999673e-03
2.939312624931335449e+01,-7.606000000000001648e-03
2.979314804077148438e+01,-7.697000000000002451e-03
3.021711230278015137e+01,-7.685999999999998389e-03
3.065051221847534180e+01,-7.565000000000002278e-03
3.106320118904113770e+01,-7.345000000000004303e-03
3.149033594131469727e+01,-7.059000000000002772e-03
3.199259018898010254e+01,-6.661000000000000254e-03
3.240130448341369629e+01,-6.257999999999999674e-03
3.278136086463928223e+01,-5.898000000000000465e-03
3.318340301513671875e+01,-5.593000000000000749e-03
3.369524979591369629e+01,-5.325999999999997403e-03
3.410988831520080566e+01,-5.088000000000002243e-03
3.454204368591308594e+01,-5.010000000000000564e-03
3.493926739692687988e+01,-5.036999999999999811e-03
3.536832666397094727e+01,-5.166000000000003922e-03
3.580440139770507812e+01,-5.409000000000004083e-03
3.626723933219909668e+01,-5.755000000000003169e-03
3.667391872406005859e+01,-6.207000000000004181e-03
3.705185008049011230e+01,-6.631999999999999007e-03
3.746140003204345703e+01,-7.037000000000001587e-03
3.789342904090881348e+01,-7.476000000000003476e-03
3.833859372138977051e+01,-7.894999999999999241e-03
3.882686686515808105e+01,-8.260000000000003451e-03
3.928171706199645996e+01,-8.545000000000003981e-03
3.970964407920837402e+01,-8.681000000000001215e-03
4.016421914100646973e+01,-8.694000000000000339e-03
4.061846661567687988e+01,-8.577000000000001290e-03
4.104879713058471680e+01,-8.363000000000002376e-03
4.148675203323364258e+01,-8.067000000000004722e-03
4.190320658683776855e+01,-7.705000000000003513e-03
4.233313918113708496e+01,-7.339999999999999303e-03
4.271447563171386719e+01,-6.957999999999998908e-03
4.315714597702026367e+01,-6.638999999999999069e-03
4.363284397125244141e+01,-6.338000000000003353e-03
4.403231024742126465e+01,-6.111999999999999378e-03
4.441100597381591797e+01,-6.017000000000001514e-03
4.487486529350280762e+01,-6.016000000000000514e-03
4.531888723373413086e+01,-6.138999999999998625e-03
4.590979957580566406e+01,-6.374999999999998723e-03
4.636045765876770020e+01,-6.851999999999996982e-03
4.680497455596923828e+01,-7.288000000000002809e-03
4.726210546493530273e+01,-7.773000000000002130e-03
4.769237041473388672e+01,-8.262999999999999512e-03
4.812764072418212891e+01,-8.715000000000000524e-03
4.856558966636657715e+01,-9.100000000000003919e-03
4.904364180564880371e+01,-9.409000000000000696e-03
4.943773436546325684e+01,-9.622999999999999610e-03
4.988404011726379395e+01,-9.698999999999999289e-03
5.033564758300781250e+01,-9.666000000000000980e-03
5.076008796691894531e+01,-9.511999999999999622e-03
5.117924404144287109e+01,-9.274999999999998523e-03
5.154714322090148926e+01,-8.965000000000000746e-03
5.195116209983825684e+01,-8.651999999999999968e-03
5.239347600936889648e+01,-8.295000000000003759e-03
5.287122488021850586e+01,-7.856000000000001871e-03
5.326635932922363281e+01,-7.527999999999999969e-03
5.371046566963195801e+01,-7.275000000000003686e-03
5.417585754394531250e+01,-7.084000000000000019e-03
5.462911796569824219e+01,-7.004000000000003279e-03
5.506218147277832031e+01,-7.055999999999999772e-03
5.549392199516296387e+01,-7.220999999999998253e-03
5.592881178855895996e+01,-7.498999999999998722e-03
5.638891363143920898e+01,-7.859999999999998932e-03
5.682354855537414551e+01,-8.316999999999998006e-03
5.725324153900146484e+01,-8.793000000000002203e-03
5.770119214057922363e+01,-9.261999999999999400e-03
5.813798999786376953e+01,-9.723000000000002474e-03
5.856522464752197266e+01,-1.140000000000029878e-04
5.898558187484741211e+01,-4.079999999999986415e-04
5.948347353935241699e+01,-6.219999999999975548e-04
5.990246534347534180e+01,-7.020000000000012341e-04
6.035692811012268066e+01,-6.620000000000028639e-04
6.077128458023071289e+01,-4.979999999999984439e-04
6.123237705230712891e+01,-2.619999999999983453e-04
6.163006448745727539e+01,-9.925000000000003264e-03
6.201415491104125977e+01,-9.582000000000000239e-03
6.239314079284667969e+01,-9.239999999999998215e-03
6.279227781295776367e+01,-8.905999999999997252e-03
6.323786377906799316e+01,-8.571000000000002228e-03
6.364784240722656250e+01,-8.290999999999999759e-03
6.404110860824584961e+01,-8.104000000000000092e-03
6.446122956275939941e+01,-8.014000000000000290e-03
6.487509608268737793e+01,-8.019999999999999352e-03
6.535470962524414062e+01,-8.136999999999998401e-03
6.585064053535461426e+01,-8.392000000000003623e-03
6.633948636054992676e+01,-8.795000000000004203e-03
6.674720239639282227e+01,-9.261999999999999400e-03
6.715834116935729980e+01,-9.703000000000003289e-03
6.756548380851745605e+01,-1.629999999999964810e-04
6.797123098373413086e+01,-5.929999999999963078e-04
6.834283685684204102e+01,-9.699999999999986411e-04
6.874507689476013184e+01,-1.264000000000001234e-03
6.918137979507446289e+01,-1.508999999999996455e-03
6.957419395446777344e+01,-1.661999999999996813e-03
7.005211496353149414e+01,-1.700000000000000122e-03
7.044209837913513184e+01,-1.618000000000001382e-03
7.087530922889709473e+01,-1.453000000000002900e-03
7.131536960601806641e+01,-1.185999999999999555e-03
7.176935601234436035e+01,-8.340000000000014069e-04
7.215435934066772461e+01,-4.480000000000039506e-04
7.258103799819946289e+01,-9.800000000000086420e-05
7.297363734245300293e+01,-9.749000000000000721e-03
7.340866446495056152e+01,-9.425000000000002820e-03
7.380759453773498535e+01,-9.203000000000002845e-03
7.419116306304931641e+01,-9.056000000000001549e-03
7.462261223793029785e+01,-9.003000000000004055e-03
7.501857042312622070e+01,-9.051000000000003487e-03
7.547814488410949707e+01,-9.198999999999998844e-03
7.587741875648498535e+01,-9.481000000000003314e-03
7.632643842697143555e+01,-9.809999999999999276e-03
7.676360821723937988e+01,-2.609999999999973452e-04
7.721865367889404297e+01,-7.339999999999985425e-04
7.766062021255493164e+01,-1.225999999999997925e-03
7.805819559097290039e+01,-1.680000000000000937e-03
7.842791152000427246e+01,-2.044999999999998208e-03
7.880881881713867188e+01,-2.323999999999999677e-03
7.921205949783325195e+01,-2.535000000000002529e-03
7.961813950538635254e+01,-2.668999999999997763e-03
8.003968381881713867e+01,-2.699000000000000010e-03
8.043179488182067871e+01,-2.624000000000001331e-03
8.082428765296936035e+01,-2.464000000000000912e-03
8.127271485328674316e+01,-2.221000000000000751e-03
8.171829748153686523e+01,-1.883999999999996788e-03
8.211700415611267090e+01,-1.493000000000001271e-03
8.253877615928649902e+01,-1.134000000000003061e-03
8.295022940635681152e+01,-7.739999999999969127e-04
8.338840413093566895e+01,-4.650000000000001354e-04
8.376999020576477051e+01,-2.119999999999969131e-04
8.421233820915222168e+01,-6.400000000000155564e-05
8.462700033187866211e+01,-2.000000000002000178e-06
8.501332449913024902e+01,-5.199999999999649347e-05
8.540958571434020996e+01,-1.970000000000027285e-04
8.584632158279418945e+01,-4.369999999999998885e-04
8.630971956253051758e+01,-7.819999999999979745e-04
8.678568506240844727e+01,-1.239000000000003987e-03
8.720661425590515137e+01,-1.742000000000000492e-03
8.759617686271667480e+01,-2.202000000000002566e-03
8.801194357872009277e+01,-2.610000000000001208e-03
8.843030834197998047e+01,-3.002000000000004665e-03
8.884134292602539062e+01,-3.321999999999998565e-03
8.923295640945434570e+01,-3.548000000000002541e-03
8.961374235153198242e+01,-3.669999999999999651e-03
9.002201390266418457e+01,-3.697999999999999898e-03
9.047102212905883789e+01,-3.629000000000000281e-03
9.091827988624572754e+01,-3.442000000000000615e-03
9.132319474220275879e+01,-3.157000000000000084e-03
9.172444248199462891e+01,-2.841999999999997306e-03
9.215107035636901855e+01,-2.493000000000002159e-03
9.260043716430664062e+01,-2.106999999999997764e-03
9.301240515708923340e+01,-1.724999999999997369e-03
9.337977600097656250e+01,-1.425000000000002653e-03
9.382446098327636719e+01,-1.188000000000001555e-03
9.421987390518188477e+01,-1.049999999999995381e-03
9.467045855522155762e+01,-1.001000000000001888e-03
9.509532666206359863e+01,-1.064999999999996505e-03
9.554508709907531738e+01,-1.237000000000001987e-03
9.599621796607971191e+01,-1.531000000000004579e-03
9.642781543731689453e+01,-1.918000000000003036e-03
9.688520860671997070e+01,-2.362000000000002986e-03
9.730385065078735352e+01,-2.849999999999998368e-03
9.774038147926330566e+01,-3.307999999999998442e-03
9.815995693206787109e+01,-3.754000000000000392e-03
9.855136704444885254e+01,-4.124000000000002664e-03
9.898723793029785156e+01,-4.395999999999997132e-03
9.938011884689331055e+01,-4.601000000000000922e-03
9.983244299888610840e+01,-4.691000000000000725e-03
1.002481660842895508e+02,-4.673000000000003540e-03
1.006874628067016602e+02,-4.547000000000002429e-03
1.011691918373107910e+02,-4.281000000000000083e-03
1.015754320621490479e+02,-3.964999999999996305e-03
1.019983215332031250e+02,-3.626999999999998281e-03
1.024494807720184326e+02,-3.241000000000000825e-03
1.028691873550415039e+02,-2.848000000000003307e-03
1.033060994148254395e+02,-2.521000000000002406e-03
1.037229332923889160e+02,-2.252999999999998060e-03
1.041359949111938477e+02,-2.077000000000002455e-03
1.045483744144439697e+02,-2.002000000000003777e-03
1.049289965629577637e+02,-2.034000000000001085e-03
1.053507258892059326e+02,-2.158000000000000196e-03
1.057489109039306641e+02,-2.391999999999998294e-03
1.061669094562530518e+02,-2.699000000000000010e-03
1.065927960872650146e+02,-3.091999999999997528e-03
1.070013341903686523e+02,-3.532000000000000417e-03
1.074515764713287354e+02,-3.979999999999997429e-03
1.079310405254364014e+02,-4.463000000000001688e-03
1.083045916557312012e+02,-4.928000000000001823e-03
1.087339859008789062e+02,-5.236000000000004539e-03
1.091635901927947998e+02,-5.498000000000002885e-03
1.095802173614501953e+02,-5.652999999999998304e-03
1.100821342468261719e+02,-5.698000000000001675e-03
1.105285201072692871e+02,-5.605999999999999872e-03
1.109670059680938721e+02,-5.409000000000004083e-03
1.113772120475769043e+02,-5.121000000000000552e-03
1.117872393131256104e+02,-4.791999999999997650e-03
1.122210731506347656e+02,-4.430000000000003380e-03
1.126422617435455322e+02,-4.046000000000000985e-03
1.130761342048645020e+02,-3.686000000000001775e-03
1.134746346473693848e+02,-3.380000000000001059e-03
1.138856258392333984e+02,-3.169999999999999207e-03
1.142644646167755127e+02,-3.033000000000000973e-03
1.146603465080261230e+02,-3.000000000000002665e-03
1.151614353656768799e+02,-3.076999999999996405e-03
1.156104633808135986e+02,-3.272999999999998133e-03
1.160267536640167236e+02,-3.582000000000001849e-03
1.164663772583007812e+02,-3.952999999999998182e-03
1.168987534046173096e+02,-4.401000000000002133e-03
1.173487374782562256e+02,-4.868999999999998329e-03
1.177763519287109375e+02,-5.355999999999999650e-03
1.181963801383972168e+02,-5.780000000000000415e-03
1.186156680583953857e+02,-6.151999999999997748e-03
1.190747604370117188e+02,-6.434000000000002217e-03
1.195327265262603760e+02,-6.633000000000000007e-03
1.199562766551971436e+02,-6.697000000000001563e-03
1.204127886295318604e+02,-6.643999999999997130e-03
1.208428120613098145e+02,-6.471999999999998587e-03
1.212684991359710693e+02,-6.213000000000003242e-03
1.217395558357238770e+02,-5.884000000000000341e-03
1.222185721397399902e+02,-5.476000000000001700e-03
1.226436252593994141e+02,-5.047000000000002873e-03
1.230784616470336914e+02,-4.686000000000002663e-03
1.234750781059265137e+02,-4.380000000000001947e-03
1.239119379520416260e+02,-4.168999999999999095e-03
1.243686985969543457e+02,-4.029000000000004800e-03
1.247889561653137207e+02,-4.006000000000002614e-03
1.252273683547973633e+02,-4.099999999999999478e-03
1.256640346050262451e+02,-4.311999999999996391e-03
1.261052892208099365e+02,-4.621000000000000107e-03
1.265198242664337158e+02,-5.028999999999998749e-03
1.268989090919494629e+02,-5.452999999999999514e-03
1.272900297641754150e+02,-5.867000000000004156e-03
1.277470450401306152e+02,-6.291000000000004921e-03
1.281894588470458984e+02,-6.758000000000000118e-03
